Gene	P-val	FDR	Log2fc	Mean	Order in heatmap supp. fig 6S(left)	Order in heatmap supp. fig 6S (right)	Order in heatmap supp. fig 6T (left)	Order in heatmap supp. fig 6T (right)	Differential expression Neuronal IPC -Neuroblast - V2 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V2 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuroblast - V3 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V3 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V3 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V2 chemistry pval	Differential expression Neuronal IPC -Neuron - V2 chemistry FDR	Differential expression Neuronal IPC -Neuron - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V3 chemistry pval	Differential expression Neuronal IPC -Neuron - V3 chemistry FDR	Differential expression Neuronal IPC -Neuron- V3 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia- V2 chemistry pval	Differential expression Neuronal IPC -Radial glia - V2 chemistry FDR	Differential expression Neuronal IPC -Radial glia - V2 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia V3 chemistry pval	Differential expression Neuronal IPC -Radial glia - V3 chemistry FDR	Differential expression Neuronal IPC -Radial glia- V3 chemistry Log2fc
ABRACL	0.00E+00	0.00E+00	2.29E+00	5.69E-01			54	69	0.00E+00	0.00E+00	-4.42E-01	0.00E+00	0.00E+00	-4.68E-01	0.00E+00	0.00E+00	-3.14E-01	8.48E-265	1.52E-264	-3.15E-01						
AC004158.1	7.35E-46	2.10E-44	1.80E+00	5.66E-02			86	2	0.00E+00	0.00E+00	-2.28E+00	0.00E+00	0.00E+00	-1.97E+00	0.00E+00	0.00E+00	-3.75E+00	0.00E+00	0.00E+00	-2.87E+00						
AC010931.2	1.00E-57	3.69E-56	1.80E+00	4.55E-02			52	87	4.54E-158	9.21E-158	-1.22E+00	4.11E-38	5.25E-38	6.44E-02	1.72E-87	2.42E-87	-4.35E-01	3.28E-03	3.37E-03	1.19E+00						
ACTL6B	4.03E-121	3.58E-119	2.35E+00	7.22E-02			115	51	0.00E+00	0.00E+00	-1.12E+00	0.00E+00	0.00E+00	-1.31E+00	0.00E+00	0.00E+00	-1.33E+00	0.00E+00	0.00E+00	-1.57E+00						
ADCYAP1	1.28E-43	3.50E-42	1.59E+00	4.41E-02			131	121	1.58E-72	2.35E-72	-7.42E-01	8.56E-107	1.41E-106	-3.80E-01	3.70E-42	4.56E-42	2.97E+00	2.22E-159	3.40E-159	2.39E+00						
ADCYAP1R1	2.62E-41	6.78E-40	1.44E+00	5.41E-02			105	46	1.16E-32	1.44E-32	1.08E-01	1.11E-60	1.54E-60	4.17E-02	6.45E-98	9.68E-98	-1.68E-01	5.47E-206	8.99E-206	-1.63E-01						
ADGRL3	9.57E-56	3.41E-54	2.54E+00	3.06E-02			127	73	1.44E-81	2.24E-81	-6.95E-01	1.93E-103	3.06E-103	-7.80E-01	1.81E-59	2.38E-59	-3.40E-01	8.51E-196	1.37E-195	-1.03E+00						
AFAP1	1.62E-55	5.70E-54	1.31E+00	8.62E-02			84	45	3.11E-06	3.30E-06	1.17E+00	3.64E-09	4.09E-09	4.69E-01	8.86E-06	9.26E-06	1.03E+00	6.28E-124	8.67E-124	2.51E-01						
AFF2	8.67E-127	8.27E-125	2.35E+00	6.68E-02			103	119	1.63E-21	1.89E-21	8.17E-02	1.94E-23	2.39E-23	7.44E-02	6.49E-33	7.65E-33	2.02E+00	4.35E-75	5.67E-75	1.67E+00						
AKT3	2.94E-79	1.53E-77	1.24E+00	1.55E-01			70	43	9.62E-37	1.22E-36	2.29E-01	1.05E-01	1.08E-01	5.56E-01	2.60E-60	3.46E-60	4.65E-01	3.05E-01	3.08E-01	7.70E-01						
