Cell type	Gene	Average_log2_fold_change	Percentage_expressed_in_type	Percentage_expressed_outside_type	P_value	P_value_adjusted	ENSG
EN-Newborn	EPHA3	2.151829878	0.869	0.368	0	0	ENSG00000044524
EN-Newborn	UNC5D	1.929094629	0.894	0.608	0	0	ENSG00000156687
EN-Newborn	SATB2	1.670279425	0.834	0.542	0	0	ENSG00000119042
EN-Newborn	MLLT3	1.668930069	0.98	0.777	0	0	ENSG00000171843
EN-Newborn	MEIS2	1.557914904	0.938	0.551	0	0	ENSG00000134138
EN-Newborn	TTC28	1.527827543	0.983	0.749	0	0	ENSG00000100154
EN-Newborn	CASC15	1.427021956	0.938	0.587	0	0	ENSG00000272168
EN-Newborn	NRG1	1.420057548	0.787	0.624	0	0	ENSG00000157168
EN-Newborn	SEMA3C	1.418617926	0.682	0.213	0	0	ENSG00000075223
EN-Newborn	DPY19L1	1.355962443	0.627	0.223	0	0	ENSG00000173852
EN-Newborn	CUX2	1.282674898	0.76	0.347	0	0	ENSG00000111249
EN-Newborn	PLXNA2	1.269834703	0.82	0.404	0	0	ENSG00000076356
EN-Newborn	EPHA5	1.267384335	0.931	0.646	0	0	ENSG00000145242
EN-Newborn	SLC44A5	1.247971916	0.911	0.718	0	0	ENSG00000137968
EN-Newborn	SOX11	1.247309051	0.839	0.335	0	0	ENSG00000176887
EN-Newborn	NFIB	1.24382952	0.941	0.694	0	0	ENSG00000147862
EN-Newborn	TENM4	1.141556861	0.928	0.73	0	0	ENSG00000149256
EN-Newborn	PANTR1	1.081093157	0.819	0.529	0	0	ENSG00000233639
EN-Newborn	CCSER1	1.074267371	0.972	0.783	0	0	ENSG00000184305
EN-Newborn	AUTS2	1.049852563	1.0	0.978	0	0	ENSG00000158321
EN-Newborn	SRGAP1	1.040542197	0.862	0.525	0	0	ENSG00000196935
EN-Newborn	SLA	1.040532462	0.631	0.175	0	0	ENSG00000155926
EN-Newborn	CBLB	1.039689167	0.788	0.45	0	0	ENSG00000114423
EN-Newborn	DOK6	1.024356511	0.798	0.595	0	0	ENSG00000206052
EN-Newborn	CDH4	1.009028482	0.61	0.263	0	0	ENSG00000179242
EN-Newborn	NRP1	1.007187205	0.392	0.147	0	0	ENSG00000099250
EN-Newborn	FRMD4B	0.999931042	0.845	0.395	0	0	ENSG00000114541
EN-Newborn	MIR100HG	0.996332492	0.872	0.684	0	0	ENSG00000255248
EN-Newborn	NHSL1	0.97704426	0.695	0.265	0	0	ENSG00000135540
EN-Newborn	LRRC7	0.970747518	0.996	0.875	0	0	ENSG00000033122
EN-Newborn	AFF3	0.95621661	0.964	0.776	0	0	ENSG00000144218
EN-Newborn	RUNX1T1	0.952509357	0.857	0.645	0	0	ENSG00000079102
EN-Newborn	DCC	0.947623223	0.784	0.521	0	0	ENSG00000187323
EN-Newborn	TIAM2	0.947452641	0.821	0.6	0	0	ENSG00000146426
EN-Newborn	SPIRE1	0.921726067	0.81	0.578	0	0	ENSG00000134278
